LID,key
AGNO3,0
ALBO3,2
APLO3,3
APRO3,4
ARWO3,5
AURO3,6
BCLO3,7
BEAO3,8
BERO3,9
BLUO3,10
BULO3,11
CANO3,12
CGRO3,13
CHTO3,14
COCO3,15
COQO3,16
COTO3,17
CWMO3,18
DEEO3,19
DETO3,20
DEXO3,21
DLLO3,22
DORO3,23
ECDO3,24
EGLO3,25
EKTO3,26
ELKO3,27
ESTO3,28
FALO3,29
FOSO3,30
FRMO3,31
FRNO3,32
FSSO3,33
GIBO3,34
GOSO3,35
GPRO3,36
GRAO3,37
GSVO3,38
HARO3,39
HCRO3,40
IMNO3,41
JASO3,42
JFFO3,43
JHNO3,44
KRBO3,45
LOPO3,46
LOSO3,47
LSMO3,48
MEHO3,49
MLBO3,50
MNRO3,51
MODO3,52
MONO3,53
MPLO3,54
MYKO3,55
MYNO3,56
MYPO3,57
OCUO3,58
ORCO3,59
PDTO3,60
PHIO3,61
POWO3,62
PRTO3,63
PWDO3,64
SCDO3,65
SCRO3,66
SILO3,67
SPRO3,68
SRMO3,69
SUVO3,70
SYCO3,71
TIDO3,72
TILO3,73
TLMO3,74
TLYO3,75
TRYO3,76
UMAO3,77
VIDO3,78
WLAO3,79
NEBO3,80
WNRO3,81
WRMO3,82
WTLO3,83
DONO3,84
PHLO3,85
BUSO3,86
EGCO3,87
LSTO3,88
MADO3,89
SNDO3,90
TRSO3,91
UNYO3,92
ALRW1,93
ARDW1,94
ARGW1,95
AUBW1,96
BCDW1,97
BUDW1,98
CASW1,99
CDRW1,100
CHDW1,101
CIYW1,102
CLFW1,103
CLUW1,104
COKW1,105
CRPW1,106
CSHW1,107
DOTW1,108
DSRW1,109
EASW1,110
ELWW1,111
FFXW1,112
GARW1,113
SSFW1,114
GLBW1,115
GORW1,116
HHDW1,117
HOPW1,118
KADW1,119
KEDW1,120
KELW1,121
KIOW1,122
KTFW1,123
LLKW1,124
LNDW1,125
LRWW1,126
LSDW1,127
MCMW1,128
MFNW1,129
MMRW1,130
MNSW1,131
MORW1,132
MROW1,133
MSRW1,134
MVEW1,135
MYDW1,136
NACW1,137
NASW1,138
NEWW1,139
NFNW1,140
NISW1,141
NKSW1,142
NRKW1,143
NSSW1,144
ORTW1,145
PACW1,146
PARW1,147
PATW1,148
PESW1,149
PITW1,150
PULW1,151
PUYW1,152
RAWW1,153
RILW1,154
RNTW1,155
RODW1,156
SAKW1,157
SATW1,158
SHDW1,159
SKOW1,160
SLTW1,161
SNAW1,162
SNQW1,163
SPEW1,164
SRMW1,165
SRPW1,166
SSUW1,167
STHW1,168
TANW1,169
TCHW1,170
THNW1,171
TILW1,172
TLRW1,173
TNAW1,174
TOLW1,175
TOTW1,176
UBDW1,177
UMTW1,178
