LID,metric,value,type,temporal,fold,forcing_adj
FSSO3,nNSE,0.9377043373892292,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.989,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9475567332487229,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9336939111510013,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9448132986048159,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.997,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9422189007147116,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9421903333925697,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9212602285699774,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.969,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9469314127691416,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9156147074226174,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9361971261893024,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.99,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9400016636547707,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9322261972878138,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9317496084557574,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.985,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9400211910383309,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9270160130379406,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9210959856242427,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.98,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9513110301252136,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9151150309821018,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.941461706360002,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.998,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9623912435308728,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9378965729139603,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9471378538288028,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.998,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9562917874506451,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9442464660508155,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9466524958573806,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.989,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.966547768822508,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.943844121706753,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9314789726603554,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.982,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9265511761446468,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9275437188919482,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9341849813122245,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.966,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.8911196977414102,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9366505296290747,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9400474260774633,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.995,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.930148952558026,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9375409587095581,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.947363822992771,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.992,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9691417107597617,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9447023172309936,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9434092806622562,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.974,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9568162581125873,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9403930915974965,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9328878937378656,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.982,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9442273242101522,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9282596500437396,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9302184280121895,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.968,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9525742692966764,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.927472498998214,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9439075796887705,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.972,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9596007442833638,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9413292552321316,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9347886534793296,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.983,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.924704772036593,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9317294018176792,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9380776115647729,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.996,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9363685691312564,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9346691672931938,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9382013325669363,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.991,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9162274628558417,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9369908155394394,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9328760592756751,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.989,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9327614335537949,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9287316726774296,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9525718652290146,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.985,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.955904309268007,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9504183224953522,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9348470199381296,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.996,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9651137899509457,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9323245557647182,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9333664169041931,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nPBIAS,0.99,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nKGE,0.9264987957574091,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,R2,0.9298337928309095,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
FSSO3,nNSE,0.9420041692007809,"Stationary 
Bootstrapping",All Daily,BS,Forcing Adjustment
