gsno,lid,lat,lon,elev
14037500,STAO3,44.341667,118.657222,4910.0
12118400,RCCW1,47.3625,122.00972,575.0
12411000,PRCI1,47.7075,115.978056,2495.0
12060570,SRCW1,47.316111,123.236944,50.0
12143600,SFSW1,47.452778,121.716667,400.0
12043300,HOKW1,48.241667,124.3825,50.0
14159000,MCBO3,44.17917,122.12917,1419.0
14316000,FBCO3,43.230556,122.445833,2859.0
13169450,BJCI1,42.7525,116.004444,2928.0
13159800,CCXI1,43.261111,115.725556,3540.0
13246000,BNKI1,44.113889,116.106944,3081.0
13176400,ORCI1,42.260278,116.869167,4270.0
13311450,SUGI1,44.936389,115.372778,5950.0
13311000,SFSI1,44.905833,115.328333,6460.0
13135520,NFBI1,43.786111,114.419167,6253.0
13330000,LSTO3,45.43889,117.42639,3650.0
14169000,FRNO3,44.12361,123.29861,390.0
12035002,CSPW1,46.964722,123.520833,45.0
14143500,WASW1,45.5839,122.343,33.0
12474500,KEEW1,47.316667,121.333333,2479.0
12483699,RBDW1,46.829167,120.441667,1506.0
12509099,YGVW1,46.217222,119.916944,600.0
12474999,YRCW1,47.30861,121.31417,820.0
12509500,YRPW1,46.21667,119.75,600.0
12498599,YRTW1,46.6,120.466667,1020.0
14306340,LOBO3,44.2481,123.6353,680.0
12452990,ENRW1,47.66333,120.24944,745.0
13055198,TTNI1,43.9,111.683333,4390.0
12439500,OKNW1,48.93333,119.41667,900.0
14206950,DURO3,45.403611,122.753611,116.0
12178100,NEKW1,48.656111,121.237222,1080.0
12392155,LTCI1,48.15111,116.18222,2094.0
13211205,CDWI1,43.6772222222,116.701111111,2351.0
12100496,WABW1,47.266667,122.233333,80.0
14138720,BFLO3,45.470556,121.865278,2840.0
12453700,RRHW1,47.52444,120.30111,703.0
14159200,SFCO3,44.04722,122.21667,1710.0
14158850,TRBO3,44.26806,122.04861,1980.0
12465000,CRBW1,47.366667,118.85,1386.0
14211550,MIWO3,45.45306,122.64194,25.0
14145500,HCRO3,43.72222,122.4375,1400.0
12052210,BQCW1,47.7847,122.978,1020.0
12054000,DKBW1,47.684167,123.010278,485.0
12019310,CTKW1,46.4785,123.2971,800.0
