LID,metric,value,type,temporal,fold,forcing_adj
FSSO3,nNSE,0.8654743070206627,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.7230000000000001,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nKGE,0.75629596712311975,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,R2,0.9197956746986526,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nNSE,0.8582645775110154,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.75,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nKGE,0.7602403883355757,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,R2,0.9178502677107422,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nNSE,0.85164653765301,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.768,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nKGE,0.7700182140830107,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,R2,0.9034486616437218,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nNSE,0.8436267450361865,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.733,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nKGE,0.7628277945826026,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,R2,0.8925675350637092,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nNSE,0.8787640521898923,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.765,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nKGE,0.7793110933206385,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,R2,0.9229626101142078,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nNSE,0.8934818654537223,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.77,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nKGE,0.7956682186087229,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,R2,0.9244732309393084,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nNSE,0.8857261132847833,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.757,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nKGE,0.7836698641281687,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,R2,0.9231394119955997,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nNSE,0.8414513927387435,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
FSSO3,nPBIAS,0.717,"Stationary 
Bootstrapping",All Daily,BS,No Forcing Adjustment
